"NomEntreprise","Adresse","Municipalite","CodePostal","Territoire","SiteWeb","NEQ","CategorieMembre","Type","SecteurActivite","lat","long"
"Corporation de transports collectifs et adaptés de la MRC de Maskinongé","264 avenue St-Laurent","Louiseville","J5V1J9",NA,"www.ctcmaskinonge.org",1161106209,"Membre COLLECTIF","obnl-a-volet-marchand","transport-et-entreposage",46.255859,-72.945343
"Digihub","1250 avenue de la Station","Shawinigan","G9N8K9",NA,"digihub.ca",1169702454,"Partenaire COLLECTIF","obnl-a-volet-marchand","autre",46.545617,-72.749825
"Centre d'action bénévole du Rivage","101-1 rue Fusey","Trois-Rivières","G8T2T2",NA,"cabdurivage.org",1149230337,"Membre COLLECTIF","obnl-a-volet-marchand","commerce-de-detail",46.365687,-72.526862
"Atelier communautaire de la Mauricie ( nom provisoire )","2775 Des Oblattes Missionnaires","Trois-Rivières","G9C0M2",NA,NA,NA,"Membre ÉMERGENCE","cooperative-de-travail","fabrication",46.371012,-72.638465
"Énergie CMB","3550 Rue Marguerite-Seigneuret","Trois-Rivières","G9B0M5",NA,"www.energiecmb.com",1161384582,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.322634,-72.625698
"Evametric","3835 rue de Cherbourg","Trois-Rivières","G8Y6T2",NA,"www.evametric.com",NA,"Partenaire COLLECTIF","autre","service-professionnels-scientifiques-techniques",46.341701,-72.613768
"Événements LD","210-1640 6e rue","Trois-Rivières","G8Y5B8",NA,"www.evenementsld.com",2275279687,"Citoyen COLLECTIF","autre","service-professionnels-scientifiques-techniques",46.357887,-72.593619
"Atelier et galerie d'art Factrie 701","701 4e rue","Shawinigan","G9T6J3",NA,"www.factrie701.com",1177274165,"Membre COLLECTIF","mrc-mekinac","autre",46.616796,-72.691021
"GRT des Deux Rives","140 Rue Hériot","Drummondville","J2C1J8",NA,NA,1149547581,"Partenaire COLLECTIF","obnl-a-volet-marchand","immobilier-et-location",45.886481,-72.490858
"Faciliter l'écologie par les Partenaire et l'Innovation","1-3488 Place Marcelle Ferron","Trois-Rivières","G8Z3G9",NA,NA,NA,"Membre ÉMERGENCE","obnl-a-volet-marchand","autre",46.343267,-72.573118
