"NEQ","NomEntreprise","Adresse","Municipalite","Adresse_Lign3","CodePostal","SecteurActivite","FormeJuridique","lat","long"
1144444826,"SOCIÉTÉ D'AIDE AU DÉVELOPPEMENT DES COLLECTIVITÉS DE LA VALLÉE DE LA BATISCAN","660B RUE Principale","SAINT-LUC-DE-VINCENNES (Québec)",NA,"G0X3K0","AIDE TECHNIQUE ET FINANCIÈRE AUX ENTREPRISES","APE",46.497234,-72.420511
1144401651,"C.P.A. LA PÉRADE (1483)","161 rue Gamelin","Sainte-Anne-de-la-Pérade (Québec)",NA,"G0X2J0","PROMOUVOIR ET RÉGIR LES ACTIVITÉS DE PATINAGE","APE",46.565422,-72.203782
1144433589,"ÉCOLE DE PLEIN AIR ÉQUIPE ZAHRA INC.","200 RUE de Grandmont","CP 368","Trois-Rivières (Québec)","G9A5H3","CLUB DE LOISIRS EN PLEIN AIR","APE",46.372938,-72.523011
1144439594,"CLUB DE KARATÉ SHOTOKAN DE LA MAURICIE INC.","2870 rue De Francheville","Trois-Rivières (Québec)",NA,"G8Z1Z3","ÉCOLE DE KARATÉ","APE",46.347106,-72.568182
1144352441,"ASSOCIATION MOTO-TOURISME DE LA MAURICIE","4190 av. Morand","Shawinigan (Québec)",NA,"G9P5C9","PROMOUVOIR LE SPORT ET LOISIR DE LA MOTO","APE",46.500143,-72.733289
1144352946,"ASSOCIATION ATHLETIQUE DES EMPLOYÉS DE LA WAYAGAMACK","ILE DE LA POTHERIE, C.P. 128","TROIS-RIVIÈRES (QUÉBEC)",NA,"G9A5E9","LOISIR ET SPORT","APE",40.7917,14.187
1144343234,"LA COOPÉRATIVE D'HABITATION LE BONHEUR DE TROIS-RIVIÈRES","715 rue Hertel","Trois-Rivières (Québec)",NA,"G9A1G9","FOURNIR DES SERVICES DE LOCATION À SES MEMBRES","COP",46.350533,-72.539817
1144378354,"GOLF MAURICIE INC.","2406 rue de la Garonne","Trois-Rivières (Québec)",NA,"G9B0H9","PROMOTION ET DÉVELOPPEMENT DU GOLF DANS LA RÉGION DE LA MAURICIE","APE",46.322888,-72.607516
1144379188,"L'ALTER ÉGAUX, ORGANISME DE JUSTICE ALTERNATIVE","331 rue Scott","La Tuque (Québec)",NA,"G9X1P4","PROGRAMME MESURES DE RECHANGE, LOI SUR LES JEUNES CONTREVENANTS ETC....","APE",47.438307,-72.7831
1144344778,"Camping Latuquois","14 RUE Domaine Morency","La Tuque (Québec)",NA,"G9X3N7","TERRAIN DE CAMPING ET PARC À ROULOTTE","APE",47.460594,-72.772754
1144345783,"FONDATION DE L'ÉCOLE SECONDAIRE DES PIONNIERS","1725 boul. du Carmel","Trois-Rivières (Québec)",NA,"G8Z3R8","AIDE AUX ÉLÈVES","APE",46.351771,-72.561086
1144367076,"ASSOCIATION DES OUELLET-TE D'AMÉRIQUE","6990 rue Ernest-Fleury","Trois-Rivières (Québec)",NA,"G8Y6A2","Rassemblement des Ouellet-te une fois annuellement et publication 3 fois par année d'une revue","APE",46.366827,-72.617706
1144369551,"COOPERATIVE D'HABITATION LOGI-CILE DE TROIS-RIVIERES","835 rue des Ursulines","Trois-Rivières (Québec)",NA,"G9A5B8","COOPÉRATIVE D'HABITATION SANS BUT LUCRATIF","COP",46.343398,-72.537321
1144348118,"CENTRE LOISIR MULTI-PLUS","3730 rue Jacques-De Labadie","Trois-Rivières (Québec)",NA,"G8Y5K7","CENTRE COMMUNAUTAIRE DE LOISIRS","APE",46.354877,-72.578912
1144338176,"TAXIS COOP DE LA MAURICIE 1992","395 rue Barkoff","Trois-Rivières (Québec)",NA,"G8T2A5","SERVICE D'INTERMÉDIAIRE EN SERVICE DE TRANSPORT PAR TAXI","COP",46.373617,-72.554701
1144338754,"LA COOPÉRATIVE D'HABITATION LE TRAIT-D'UNION DE TROIS-RIVIÈRES-OUEST","1-775 rue Couture","Trois-Rivières (Québec)",NA,"G9A5Y6","SERVICES DE LOCATION","COP",46.326416,-72.576184
1144359677,"CLUB DE L'AGE D'OR ST-FRANCOIS D'ASSISE DE TROIS-RIVIERES","1705 rue Saint-François-Xavier","Trois-Rivières (Québec)",NA,"G9A1S5","CARTES DE MEMBRES - ACTIVITÉS RÉCRÉATIVES","APE",46.355333,-72.551596
1144360212,"La Fabrique de la paroisse de Saint-François","531 rue Notre-Dame","Saint-Tite (Québec)",NA,"G0X3H0","SOUTIEN À L'EXER DE LA RELIGION CATHOLIQUE ROMAINE MAINTIEN DES ACTES CULTE","APE",46.727556,-72.56356
1144360709,"DOMAINE DE L'ESKER INC.","1200 ch. de l'Esker","Saint-Mathieu-du-Parc (Québec)",NA,"G0X1N0","ASSOC. ET CLUB COMMUNAUTAIRE, SOCIALE ET CULTURELLE","APE",46.553857,-72.944595
1144341303,"COOPÉRATIVE DES AMBULANCIERS DE LA MAURICIE","7325 boul. Jean-XXIII","Trois-Rivières (Québec)",NA,"G9A5C9","SERVICE AMBULANCIER","COP",46.322278,-72.602407
1144537637,"AGE D'OR AFFILIE SAINT-LOUIS-DE-FRANCE","3825 boul. Thibeau","Trois-Rivières (Québec)",NA,"G8W2H4","PÉTANQUE VIE ACTIVE","APE",46.438548,-72.613991
1144542694,"CLUB DE PATINAGE ARTISTIQUE LES PIROUETTES DU NORD, LA TUQUE","360 rue Lucien-Filion","La Tuque (Québec)",NA,"G9X4J4","CLUB DE PATINAGE ARTISTIQUE","APE",47.443622,-72.780838
1144561595,"LA FEDERATION DES GUIDES CATHOLIQUES DU TROISIEME DISTRICT DU DIOCESE DES TROIS-RIVIERES","1470 13e Avenue","Shawinigan (Québec)",NA,"G9T1L9","LOCAL SERVANT POUR LES RÉUNIONS DE JEUNES ET CHEFS DE CETTE ASSOCIATION","APE",46.611197,-72.70816
1144563195,"L'ASSOCIATION DES RIVERAINS DU LAC BEAURIVAGE INC.","2191 ch. Lessard","Saint-Séverin (Québec)",NA,"G0N1V0","ENTRETIEN DES CHEMINS AUTOUR DU LAC","APE",46.234894,7.304971
1144534386,"AGE D'OR SAINTE-MARTHE-DU-CAP","1001 rang Saint-Malo","Trois-Rivières (Québec)",NA,"G8V1X4","LOISIR - SOCIALE - CULTURELLE - SPORTIVE","APE",46.392389,-72.510325
1144551877,"SOCIÉTÉ D'AIDE AU DÉVELOPPEMENT DES COLLECTIVITÉS DU HAUT ST-MAURICE INC.","324 rue Saint-Joseph","La Tuque (Québec)",NA,"G9X1L2","ACTIVITÉS DE DÉVELOPPEMENT LOCAL ET AIDE TECHNIQUE ET FINANCIÈRE AUX PME","APE",47.441192,-72.783763
1144536514,"L'ASSOCIATION DES RÉSIDENTS DE CHATEAUDUN","220 rue Gouin","Trois-Rivières (Québec)",NA,"G8T5K3","ASSOCIATION RÉCRÉATIVE POUR DIVERTISSEMENTS DES RESIDENTS DU SECTEUR","APE",46.392148,-72.544548
